trabajador_id,nombre,fecha_nacimiento,pasaporte,nombre_compania,codigo_compania,vuelo_id,rol
4,Diane Swanson,14-02-1974,F08731569,KALITTA AIR,KAI,139.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,78.0,Tripulante de Cabina
35,Francisco Rich,21-02-1996,D89562085,IBERIA,IBE,124.0,Paramedico
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,101.0,Tripulante de Cabina
40,Brian Berry,22-12-1998,N92528667,LATAM INTER,LAT,35.0,Paramedico
22,Rodney Wilson,18-10-1973,R08362516,UNITED,UAN,137.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,NO_COMPANY,NCY,65.0,Tripulante de Cabina
39,Patricia Norris,08-12-1974,Y69764268,AEROVIAS DAP (centro/norte),ADC,15.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,LATAM CARGO,UCA,41.0,Tripulante de Cabina
45,Jill Haas,10-04-1986,U50608611,MARTINAIR HOLLAND,MPH,117.0,Paramedico
20,James Singleton,12-08-1977,U46471214,LATAM ARGENTINA,LAM,7.0,Paramedico
43,Rebecca Valenzuela,18-08-1971,G17571521,BRITISH,BTA,94.0,Paramedico
53,Patricia Alvarado,01-08-1983,P27318304,BRITISH,BTA,27.0,Paramedico
14,Ronnie Macias,12-02-1988,J06543685,LATAM DOMESTICO,LUD,117.0,Tripulante de Cabina
40,Brian Berry,22-12-1998,N92528667,ETHOPIAN AIRLINES,ETA,11.0,Paramedico
51,Kristina Gilmore,13-12-1985,B29047250,NO_COMPANY,NCY,137.0,Tripulante de Cabina
35,Francisco Rich,21-02-1996,D89562085,OCEANAIR,COG,89.0,Paramedico
19,Desiree Williams,19-03-1993,Z32250364,LATAM DOMESTICO,LUD,85.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,BRITISH,BTA,65.0,Tripulante de Cabina
12,Ronnie Moore,12-01-1997,L28170812,AEROVIAS DAP (centro/norte),ADC,87.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,LATAM DOMESTICO,LUD,112.0,Tripulante de Cabina
40,Brian Berry,22-12-1998,N92528667,NO_COMPANY,NCY,96.0,Paramedico
4,Diane Swanson,14-02-1974,F08731569,OCEANAIR,COG,105.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,ETHOPIAN AIRLINES,ETA,112.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,ALITALIA,AZI,136.0,Tripulante de Cabina
45,Jill Haas,10-04-1986,U50608611,LAW,LAW,92.0,Paramedico
46,Heather Arnold,10-01-1999,Y81323264,UNITED,UAN,45.0,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,UNITED,UAN,28.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,LATAM CARGO,UCA,25.0,Tripulante de Cabina
16,Tracey Harris,05-06-1978,C97271665,ETHOPIAN AIRLINES,ETA,123.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,NO_COMPANY,NCY,80.0,Tripulante de Cabina
50,Adam Herrera,04-12-1976,Y37241205,LAW,LAW,95.0,Paramedico
18,Michael Chavez,28-08-1976,O16330677,BRITISH,BTA,55.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,ETHOPIAN AIRLINES,ETA,25.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,LATAM ARGENTINA,LAM,136.0,Tripulante de Cabina
14,Ronnie Macias,12-02-1988,J06543685,LATAM DOMESTICO,LUD,121.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,137.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,KALITTA AIR,KAI,74.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,NO_COMPANY,NCY,29.0,Tripulante de Cabina
47,Michael Compton,07-01-1980,T63857772,LATAM ARGENTINA,LAM,109.0,Paramedico
56,Isaiah Riley,18-09-1986,W12727804,UNITED,UAN,108.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,EASTERN AIRLINES,EAL,108.0,Tripulante de Cabina
32,Darrell Henderson,14-03-1975,I87476188,LATAM CARGO,UCA,132.0,Paramedico
1,Melanie Cummings,01-09-1980,J00360904,LATAM DOMESTICO,LUD,50.0,Tripulante de Cabina
49,Kenneth Brady,06-11-1981,O21522167,KALITTA AIR,KAI,138.0,Paramedico
53,Patricia Alvarado,01-08-1983,P27318304,KALITTA AIR,KAI,43.0,Paramedico
19,Desiree Williams,19-03-1993,Z32250364,AEROVIAS DAP (centro/norte),ADC,121.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,91.0,Tripulante de Cabina
42,Deborah Martinez,03-02-1987,G18065401,LACSA,LRC,138.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,27.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,MARTINAIR HOLLAND,MPH,135.0,Tripulante de Cabina
13,Bradley Glenn,17-10-1975,U87751971,KALITTA AIR,KAI,146.0,Tripulante de Cabina
12,Ronnie Moore,12-01-1997,L28170812,LAW,LAW,26.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,LATAM ARGENTINA,LAM,140.0,Tripulante de Cabina
5,Miguel Oliver,27-08-1992,E21376006,LATAM DOMESTICO,LUD,75.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,UNITED,UAN,128.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,ETHOPIAN AIRLINES,ETA,103.0,Tripulante de Cabina
52,Sara Sims,10-07-1999,F00773862,KALITTA AIR,KAI,54.0,Paramedico
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,22.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,UNITED,UAN,131.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,EASTERN AIRLINES,EAL,90.0,Tripulante de Cabina
32,Darrell Henderson,14-03-1975,I87476188,QANTAS,QAF,146.0,Paramedico
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,24.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,124.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,38.0,Tripulante de Cabina
33,Samantha Mora,27-10-1990,P24467352,BRITISH,BTA,91.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,BRITISH,BTA,104.0,Tripulante de Cabina
50,Adam Herrera,04-12-1976,Y37241205,LAW,LAW,29.0,Paramedico
22,Rodney Wilson,18-10-1973,R08362516,KALITTA AIR,KAI,77.0,Tripulante de Cabina
52,Sara Sims,10-07-1999,F00773862,KALITTA AIR,KAI,41.0,Paramedico
19,Desiree Williams,19-03-1993,Z32250364,LATAM ECUADOR,XLE,119.0,Tripulante de Cabina
28,Nicholas Simmons,03-08-1994,W03439988,LAW,LAW,97.0,Tripulante de Cabina
50,Adam Herrera,04-12-1976,Y37241205,BRITISH,BTA,29.0,Paramedico
32,Darrell Henderson,14-03-1975,I87476188,LATAM INTER,LAT,144.0,Paramedico
47,Michael Compton,07-01-1980,T63857772,OCEANAIR,COG,98.0,Paramedico
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,108.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,89.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,OCEANAIR,COG,111.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,LACSA,LRC,73.0,Tripulante de Cabina
12,Ronnie Moore,12-01-1997,L28170812,KOREAN AIR,KEA,113.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,LATAM DOMESTICO,LUD,6.0,Tripulante de Cabina
26,Elizabeth Jordan,16-09-1974,S70038299,MARTINAIR HOLLAND,MPH,52.0,Tripulante de Cabina
40,Brian Berry,22-12-1998,N92528667,ETHOPIAN AIRLINES,ETA,23.0,Paramedico
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,53.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,BRITISH,BTA,33.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,OCEANAIR,COG,109.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,UNITED,UAN,139.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,EASTERN AIRLINES,EAL,36.0,Tripulante de Cabina
5,Miguel Oliver,27-08-1992,E21376006,UNITED,UAN,40.0,Tripulante de Cabina
26,Elizabeth Jordan,16-09-1974,S70038299,MARTINAIR HOLLAND,MPH,118.0,Tripulante de Cabina
50,Adam Herrera,04-12-1976,Y37241205,BRITISH,BTA,33.0,Paramedico
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,18.0,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,LATAM DOMESTICO,LUD,136.0,Tripulante de Cabina
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,14.0,Tripulante de Cabina
16,Tracey Harris,05-06-1978,C97271665,LATAM ECUADOR,XLE,41.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,IBERIA,IBE,38.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,LACSA,LRC,74.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,46.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,LACSA,LRC,138.0,Tripulante de Cabina
53,Patricia Alvarado,01-08-1983,P27318304,AEROVIAS DAP (centro/norte),ADC,81.0,Paramedico
35,Francisco Rich,21-02-1996,D89562085,QANTAS,QAF,106.0,Paramedico
2,Melissa Jimenez,18-12-1998,W08204144,LATAM DOMESTICO,LUD,9.0,Tripulante de Cabina
26,Elizabeth Jordan,16-09-1974,S70038299,LAW,LAW,97.0,Tripulante de Cabina
4,Diane Swanson,14-02-1974,F08731569,KALITTA AIR,KAI,105.0,Tripulante de Cabina
52,Sara Sims,10-07-1999,F00773862,KALITTA AIR,KAI,12.0,Paramedico
18,Michael Chavez,28-08-1976,O16330677,ETHOPIAN AIRLINES,ETA,142.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,ALITALIA,AZI,28.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,KALITTA AIR,KAI,28.0,Tripulante de Cabina
30,Daniel Callahan,13-09-1987,X88103341,LATAM DOMESTICO,LUD,121.0,Paramedico
1,Melanie Cummings,01-09-1980,J00360904,KOREAN AIR,KEA,45.0,Tripulante de Cabina
47,Michael Compton,07-01-1980,T63857772,OCEANAIR,COG,77.0,Paramedico
16,Tracey Harris,05-06-1978,C97271665,ETHOPIAN AIRLINES,ETA,95.0,Tripulante de Cabina
53,Patricia Alvarado,01-08-1983,P27318304,KALITTA AIR,KAI,141.0,Paramedico
35,Francisco Rich,21-02-1996,D89562085,QANTAS,QAF,78.0,Paramedico
35,Francisco Rich,21-02-1996,D89562085,OCEANAIR,COG,78.0,Paramedico
56,Isaiah Riley,18-09-1986,W12727804,UNITED,UAN,140.0,Tripulante de Cabina
16,Tracey Harris,05-06-1978,C97271665,EASTERN AIRLINES,EAL,12.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,BRITISH,BTA,108.0,Tripulante de Cabina
28,Nicholas Simmons,03-08-1994,W03439988,LAW,LAW,134.0,Tripulante de Cabina
27,Steven Hernandez,18-11-1997,Z48029074,NO_COMPANY,NCY,19.0,Paramedico
35,Francisco Rich,21-02-1996,D89562085,OCEANAIR,COG,106.0,Paramedico
52,Sara Sims,10-07-1999,F00773862,LAW,LAW,28.0,Paramedico
18,Michael Chavez,28-08-1976,O16330677,BRITISH,BTA,142.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,ALITALIA,AZI,110.0,Tripulante de Cabina
16,Tracey Harris,05-06-1978,C97271665,ETHOPIAN AIRLINES,ETA,12.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,LATAM ARGENTINA,LAM,27.0,Tripulante de Cabina
30,Daniel Callahan,13-09-1987,X88103341,LATAM ECUADOR,XLE,84.0,Paramedico
58,Samuel Jimenez,07-01-1984,B79815379,NO_COMPANY,NCY,39.0,Tripulante de Cabina
12,Ronnie Moore,12-01-1997,L28170812,LAW,LAW,127.0,Tripulante de Cabina
35,Francisco Rich,21-02-1996,D89562085,IBERIA,IBE,73.0,Paramedico
22,Rodney Wilson,18-10-1973,R08362516,LATAM ARGENTINA,LAM,131.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,KALITTA AIR,KAI,59.0,Tripulante de Cabina
28,Nicholas Simmons,03-08-1994,W03439988,LATAM INTER,LAT,11.0,Tripulante de Cabina
51,Kristina Gilmore,13-12-1985,B29047250,LAW,LAW,51.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,NO_COMPANY,NCY,119.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,MARTINAIR HOLLAND,MPH,112.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,LACSA,LRC,110.0,Tripulante de Cabina
53,Patricia Alvarado,01-08-1983,P27318304,AEROVIAS DAP (centro/norte),ADC,27.0,Paramedico
20,James Singleton,12-08-1977,U46471214,KOREAN AIR,KEA,66.0,Paramedico
1,Melanie Cummings,01-09-1980,J00360904,KOREAN AIR,KEA,37.0,Tripulante de Cabina
30,Daniel Callahan,13-09-1987,X88103341,LATAM ECUADOR,XLE,21.0,Paramedico
52,Sara Sims,10-07-1999,F00773862,ETHOPIAN AIRLINES,ETA,137.0,Paramedico
56,Isaiah Riley,18-09-1986,W12727804,IBERIA,IBE,0.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,LATAM ARGENTINA,LAM,38.0,Tripulante de Cabina
39,Patricia Norris,08-12-1974,Y69764268,QANTAS,QAF,42.0,Tripulante de Cabina
52,Sara Sims,10-07-1999,F00773862,LAW,LAW,140.0,Paramedico
58,Samuel Jimenez,07-01-1984,B79815379,NO_COMPANY,NCY,87.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,LACSA,LRC,44.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,BRITISH,BTA,143.0,Tripulante de Cabina
5,Miguel Oliver,27-08-1992,E21376006,ALITALIA,AZI,101.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,36.0,Tripulante de Cabina
12,Ronnie Moore,12-01-1997,L28170812,KOREAN AIR,KEA,80.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,LACSA,LRC,24.0,Tripulante de Cabina
39,Patricia Norris,08-12-1974,Y69764268,QANTAS,QAF,97.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,ALITALIA,AZI,38.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,BRITISH,BTA,91.0,Tripulante de Cabina
16,Tracey Harris,05-06-1978,C97271665,EASTERN AIRLINES,EAL,120.0,Tripulante de Cabina
13,Bradley Glenn,17-10-1975,U87751971,LATAM CARGO,UCA,144.0,Tripulante de Cabina
50,Adam Herrera,04-12-1976,Y37241205,LATAM ECUADOR,XLE,33.0,Paramedico
53,Patricia Alvarado,01-08-1983,P27318304,AEROVIAS DAP (centro/norte),ADC,141.0,Paramedico
2,Melissa Jimenez,18-12-1998,W08204144,BRITISH,BTA,137.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,KALITTA AIR,KAI,8.0,Tripulante de Cabina
2,Melissa Jimenez,18-12-1998,W08204144,LAW,LAW,136.0,Tripulante de Cabina
46,Heather Arnold,10-01-1999,Y81323264,LATAM DOMESTICO,LUD,102.0,Tripulante de Cabina
18,Michael Chavez,28-08-1976,O16330677,LATAM CARGO,UCA,1.0,Tripulante de Cabina
49,Kenneth Brady,06-11-1981,O21522167,LATAM DOMESTICO,LUD,30.0,Paramedico
2,Melissa Jimenez,18-12-1998,W08204144,LAW,LAW,4.0,Tripulante de Cabina
19,Desiree Williams,19-03-1993,Z32250364,LATAM DOMESTICO,LUD,58.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,IBERIA,IBE,27.0,Tripulante de Cabina
51,Kristina Gilmore,13-12-1985,B29047250,LAW,LAW,53.0,Tripulante de Cabina
26,Elizabeth Jordan,16-09-1974,S70038299,LAW,LAW,118.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,OCEANAIR,COG,110.0,Tripulante de Cabina
51,Kristina Gilmore,13-12-1985,B29047250,KALITTA AIR,KAI,137.0,Tripulante de Cabina
58,Samuel Jimenez,07-01-1984,B79815379,AEROVIAS DAP (centro/norte),ADC,29.0,Tripulante de Cabina
39,Patricia Norris,08-12-1974,Y69764268,AEROVIAS DAP (centro/norte),ADC,42.0,Tripulante de Cabina
16,Tracey Harris,05-06-1978,C97271665,LATAM ECUADOR,XLE,25.0,Tripulante de Cabina
40,Brian Berry,22-12-1998,N92528667,LAW,LAW,35.0,Paramedico
2,Melissa Jimenez,18-12-1998,W08204144,BRITISH,BTA,96.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,EASTERN AIRLINES,EAL,38.0,Tripulante de Cabina
47,Michael Compton,07-01-1980,T63857772,EASTERN AIRLINES,EAL,109.0,Paramedico
50,Adam Herrera,04-12-1976,Y37241205,LAW,LAW,105.0,Paramedico
22,Rodney Wilson,18-10-1973,R08362516,ALITALIA,AZI,109.0,Tripulante de Cabina
22,Rodney Wilson,18-10-1973,R08362516,UNITED,UAN,8.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,KALITTA AIR,KAI,81.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,LATAM ARGENTINA,LAM,136.0,Tripulante de Cabina
56,Isaiah Riley,18-09-1986,W12727804,BRITISH,BTA,109.0,Tripulante de Cabina
47,Michael Compton,07-01-1980,T63857772,EASTERN AIRLINES,EAL,98.0,Paramedico
30,Daniel Callahan,13-09-1987,X88103341,LATAM ECUADOR,XLE,125.0,Paramedico
